Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
1021000,12616.83631300001,1800.053922999999
1022000,12640.11678300001,1801.981465999999
1023000,12668.23191400001,1803.894230999999
1024000,12691.503038000012,1805.808727999999
1025000,12719.021962000012,1808.0728009999991
1026000,12738.373078000011,1809.943263999999
1027000,12772.540431000012,1811.935022999999
1028000,12790.802818000013,1813.8331979999991
1029000,12805.225530000012,1815.7127189999992
1030000,12825.551272000013,1817.6250519999992
1031000,12837.456640000013,1819.4219369999992
1032000,12851.931902000013,1821.2539389999993
1033000,12862.863735000014,1823.0436699999993
1034000,12888.922365000013,1825.0590519999994
1035000,12909.542770000013,1826.9429389999993
1036000,12918.124972000012,1828.7510799999993
1037000,12928.804280000013,1830.5970779999993
1038000,12946.649932000013,1832.4459309999993
1039000,12961.657720000014,1834.2863359999992
1040000,12980.408730000014,1836.1625879999992
1041000,13002.813070000013,1838.1287359999992
1042000,13023.942160000013,1840.0124099999991
1043000,13043.002973000013,1841.913633999999
1044000,13056.373633000014,1843.7462919999991
1045000,13069.459290000013,1845.550314999999
1046000,13084.348830000014,1847.367567999999
1047000,13098.518080000014,1849.206427999999
1048000,13117.887307000014,1851.145798999999
1049000,13135.026500000014,1853.016172999999
1050000,13147.791427000015,1854.832233999999
1051000,13160.037394000015,1856.632777999999
1052000,13179.561444000015,1858.570774999999
1053000,13194.122956000016,1860.375682999999
1054000,13211.731281000015,1862.2033319999991
1055000,13225.282180000015,1863.9984559999991
1056000,13242.720192000015,1866.199653999999
1057000,13257.110143000014,1868.016491999999
1058000,13271.239208000014,1869.823351999999
1059000,13286.784009000014,1871.654069999999
1060000,13312.073384000014,1873.5091529999988
1061000,13332.056887000013,1875.3865419999988
1062000,13356.024664000013,1877.691451999999
1063000,13369.837909000013,1879.5283859999988
1064000,13385.251899000012,1881.377045999999
1065000,13408.360986000012,1883.685317999999
1066000,13433.469136000012,1887.500657999999
1067000,13454.271778000013,1889.663717999999
1068000,13480.938386000013,1892.865559999999
1069000,13504.962329000013,1894.953720999999
1070000,13534.173501000012,1897.123666999999
1071000,13553.671273000013,1899.091488999999
1072000,13597.761780000013,1901.279094999999
1073000,13612.379283000013,1903.192546999999
1074000,13642.604851000013,1905.1878089999989
1075000,13659.081350000013,1907.1364869999989
